MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
dc:45:17:b4:f9:e0,ATT560,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:54:42,6,-97,42.3783953166792,-83.0745397141191,155.107986317818,6,WIFI
dc:45:17:67:b4:a0,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:04:56,6,-97,42.3777676251633,-83.0813927700092,160.686568513925,6,WIFI
00:1d:d1:7e:2c:70,HOME-2C72,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:58:15,1,-94,42.3796221656791,-83.0743616915227,161.508456589401,6,WIFI
00:1d:d4:12:e3:30,HOME-E332,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:18:49,11,-94,42.3700854926041,-83.0805446471859,159.501676248445,8,WIFI
00:1e:e5:f7:32:8e,myt,[WPA-PSK-TKIP][ESS],2013-09-12 14:20:47,6,-94,42.3708560988532,-83.0776599247396,172.867161483808,12,WIFI
e8:89:2c:66:12:a0,HOME-12A2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:47:13,11,-91,42.3740676818748,-83.0795746697686,156.295560362383,8,WIFI
00:11:95:74:9b:0e,Tim'sCastle,[WEP][ESS],2013-09-12 14:20:55,6,-88,42.3706319560725,-83.0782040239246,165.486696046073,8,WIFI
5c:d9:98:5e:2b:84,oracle,[WPS][WEP][ESS],2013-09-12 13:43:53,6,-91,42.3718298260281,-83.0791505228642,159.523003132405,8,WIFI
00:26:f3:7b:0f:e8,YASER,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:12:55,1,-98,42.3736321137728,-83.0855069014098,161.389451058284,6,WIFI
00:26:f3:7b:0f:e9,,[WPA2-PSK-CCMP][ESS],2013-09-12 14:12:56,1,-98,42.3735974046019,-83.0854790146276,161.27937082881,6,WIFI
30:46:9a:9f:eb:ae,dbwireless,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:46:52,6,-99,42.3736490911965,-83.0805983053999,161.257700606235,16,WIFI
c4:39:3a:4d:98:ca,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:42:23,5,-99,42.3703592418034,-83.0800554560643,161.180364082837,8,WIFI
c4:39:3a:4d:98:cb,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:20:58,5,-99,42.3705820358258,-83.078360490655,165.495323624103,6,WIFI
c0:c1:c0:c1:9e:4b,RVSNet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 13:48:11,11,-92,42.3754249990117,-83.0791098163631,154.757735980023,8,WIFI
78:cd:8e:39:2a:6b,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:02:17,6,-94,42.3754864041779,-83.0855467964443,160.44485903038,8,WIFI
20:e5:64:0b:d9:90,ATT808,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:20:16,11,-85,42.3702889429711,-83.0777433954334,159.987192398863,8,WIFI
02:1d:d1:3a:02:20,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:44:40,11,-90,42.3725008559401,-83.0806919284781,162.030095540805,6,WIFI
00:19:e4:33:76:19,THE_WIRE,[WEP][ESS],2013-09-12 14:17:50,1,-86,42.3703268233155,-83.0806788615647,156.603536544406,6,WIFI
00:24:b2:bf:0d:24,netgear15,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 13:46:05,6,-87,42.3733062677822,-83.0814434368506,161.826927050264,8,WIFI
c0:c1:c0:c1:3e:cb,zaocondorouter,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 14:14:54,1,-93,42.3716963106601,-83.0817668711737,163.038238195508,12,WIFI
00:1e:e5:25:37:5b,Smith Network,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 14:07:57,1,-94,42.3788625993427,-83.0817204062571,159.723242076789,12,WIFI
e8:3e:fc:a0:9e:e0,HOME-9EE2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:12:21,1,-99,42.3744234154724,-83.085700421499,163.152379492224,8,WIFI
20:c9:d0:a6:7e:62,User's Wi-Fi Network,[WPA2-PSK-CCMP][ESS],2013-09-12 13:58:55,1,-99,42.3790016963685,-83.0762416220722,165.493519464509,6,WIFI
2c:b0:5d:9e:55:b2,NETGEAR54,[WPA2-PSK-CCMP][WPS][ESS],2013-09-12 14:05:33,1,-97,42.3785488409942,-83.079896621602,158.633181657809,8,WIFI
00:1d:d5:21:6e:90,HOME-6E92,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2013-09-12 14:19:35,6,-97,42.3697581344334,-83.0790089195223,158.345386314675,8,WIFI
02:1d:cf:a8:18:20,,[WPA2-PSK-CCMP][ESS],2013-09-12 13:56:03,1,-91,42.3800849996759,-83.0698210408535,160.667289370934,6,WIFI
7c:bf:b1:6a:1d:60,ATT328,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2013-09-12 13:55:39,1,-87,42.3795997577428,-83.0711711098612,156.501676179439,6,WIFI
